Date,Open,High,Low,Close,Volume
2025-06-04,82.78,83.2,82.14,82.19,3543443.0
2025-06-05,82.8,83.9,80.31,81.06,5407179.0
2025-06-06,82.02,84.28,81.54,83.7,3613302.0
2025-06-09,83.7,84.43,83.07,83.88,3240247.0
2025-06-10,83.48,85.41,83.0,85.0,3394616.0
2025-06-11,84.69,86.43,83.54,84.06,5386180.0
2025-06-12,83.51,85.4,82.79,83.96,3942761.0
2025-06-13,81.29,84.52,81.09,82.6,6156313.0
2025-06-16,83.5,85.52,82.66,83.23,3862463.0
2025-06-17,83.24,84.37,81.77,81.99,3608537.0
2025-06-18,82.87,84.07,82.1,82.38,3145697.0
2025-06-20,82.21,84.01,81.25,82.19,4170568.0
2025-06-23,82.26,85.72,80.82,85.56,5117872.0
2025-06-24,85.8,87.45,85.5,87.11,4497479.0
2025-06-25,86.91,87.48,86.24,86.89,5575479.0
2025-06-26,87.46,89.29,87.13,89.01,3197249.0
2025-06-27,89.61,90.8,88.39,89.69,4457350.0
2025-06-30,90.85,92.02,90.2,91.38,3193519.0
2025-07-01,91.1,91.82,90.36,91.4,3606943.0
2025-07-02,91.64,92.65,90.72,92.58,2874931.0
2025-07-03,92.76,94.98,92.44,94.35,3808412.0
2025-07-07,93.43,94.21,91.16,92.15,9765185.0
2025-07-08,93.08,93.08,91.91,92.21,3388201.0
2025-07-09,92.28,94.2,91.9,93.71,3424389.0
2025-07-10,93.21,95.14,93.09,94.86,2468689.0
2025-07-11,93.22,94.38,92.63,93.41,3125964.0
2025-07-14,92.74,94.25,91.87,93.77,3131963.0
2025-07-15,94.91,95.5,92.05,92.3,4191062.0
2025-07-16,92.47,93.97,91.0,93.29,3747940.0
2025-07-17,93.8,95.78,93.29,95.75,3249456.0
2025-07-18,95.67,96.13,94.64,95.17,3228487.0
2025-07-21,95.8,96.93,95.4,95.77,2728206.0
2025-07-22,95.45,96.5,94.46,96.45,3885183.0
2025-07-23,96.41,98.43,96.05,98.29,3924500.0
2025-07-24,97.94,98.96,97.76,98.65,3017383.0
2025-07-25,98.75,99.55,98.25,99.18,2090713.0
2025-07-28,99.38,100.7,98.59,99.42,2785094.0
2025-07-29,99.69,100.09,97.99,98.5,3438798.0
2025-07-30,98.79,100.24,96.67,100.04,3851266.0
2025-07-31,100.38,101.28,95.9,96.41,4797325.0
2025-08-01,94.67,96.54,90.93,91.9,7380679.0
2025-08-04,93.45,96.75,92.95,96.5,3884594.0
2025-08-05,96.38,97.04,94.2,94.39,4506051.0
2025-08-06,96.02,97.5,94.76,97.18,3988154.0
2025-08-07,97.87,99.29,95.15,97.04,4963086.0
2025-08-08,97.01,99.3,96.81,99.3,3309813.0
2025-08-11,98.81,99.54,97.54,98.07,8449455.0
2025-08-12,98.49,101.41,97.8,101.41,6276720.0
2025-08-13,101.54,102.86,101.18,102.15,3311249.0
2025-08-14,102.1,102.57,100.59,102.36,3766656.0
2025-08-15,103.0,103.19,100.99,101.24,3080751.0
2025-08-18,101.2,101.8,100.81,101.46,2229862.0
2025-08-19,100.8,101.7,99.03,99.36,3942485.0
2025-08-20,99.1,99.55,96.41,98.69,5757446.0
2025-08-21,99.0,99.0,96.81,98.05,4328019.0
2025-08-22,97.74,102.57,96.68,102.2,3995968.0
2025-08-25,101.56,101.98,100.6,100.89,2696256.0
2025-08-26,100.08,102.22,99.96,102.16,2348276.0
2025-08-27,102.0,103.0,100.9,101.67,2369882.0
2025-08-28,102.94,103.87,101.91,103.48,2430301.0
2025-08-29,103.0,103.42,100.73,101.62,3519141.0
2025-09-02,100.5,101.43,96.8,99.76,4299255.0
2025-09-03,100.1,101.15,99.39,100.79,3301628.0
2025-09-04,101.26,103.66,100.78,103.59,2654761.0
2025-09-05,103.71,104.83,100.58,101.94,5694318.0
2025-09-08,102.82,103.65,102.4,103.31,3132022.0
2025-09-09,103.54,104.6,102.36,104.23,2813951.0
2025-09-10,104.79,105.93,103.96,105.0,4243240.0
2025-09-11,105.21,107.63,104.52,107.35,2662756.0
2025-09-12,107.0,107.94,106.57,107.05,3258537.0
2025-09-15,107.63,108.85,107.13,108.68,2716189.0
2025-09-16,109.15,109.59,107.91,108.45,2138897.0
2025-09-17,108.39,109.11,105.44,109.0,3018790.0
2025-09-18,109.8,110.73,108.39,109.95,2673420.0
2025-09-19,109.29,111.29,108.86,110.75,2525710.0
2025-09-22,109.93,112.63,109.64,112.39,2415911.0
2025-09-23,112.29,112.65,109.95,110.73,4369401.0
2025-09-24,110.94,111.04,108.54,109.55,2896520.0
2025-09-25,109.3,109.73,105.9,107.6,3049167.0
2025-09-26,108.12,109.75,107.4,109.69,2032760.0
2025-09-29,110.78,111.37,109.47,110.17,2217661.0
2025-09-30,109.67,111.79,109.32,110.83,2218585.0
2025-10-01,109.05,113.14,108.73,112.66,2787936.0
2025-10-02,113.1,113.8,111.8,113.15,2280479.0
2025-10-03,113.88,114.68,112.41,113.09,4497880.0
2025-10-06,113.62,114.57,113.03,113.63,3205089.0
2025-10-07,113.73,114.83,112.08,112.69,2898902.0
2025-10-08,113.3,115.27,112.73,115.11,2405492.0
2025-10-09,114.78,115.19,112.77,114.17,2377612.0
2025-10-10,114.08,115.06,101.35,104.06,5541619.0
2025-10-13,108.8,109.98,107.22,109.07,3391632.0
2025-10-14,107.5,110.56,104.3,108.96,4911636.0
2025-10-15,109.49,112.68,107.15,110.18,4795936.0
2025-10-16,111.06,111.93,106.19,107.03,5306601.0
2025-10-17,103.89,110.33,103.29,110.09,5400191.0
2025-10-20,111.0,113.51,110.06,113.28,2910808.0
2025-10-21,112.79,113.88,112.37,112.95,2777707.0
2025-10-22,113.49,113.73,108.98,110.75,4836097.0
2025-10-23,111.76,113.64,110.43,113.38,2780814.0
2025-10-24,113.8,116.47,113.65,115.9,3163688.0
2025-10-27,118.63,120.38,117.24,120.09,3797770.0
2025-10-28,119.7,121.8,119.6,120.95,3407298.0
2025-10-29,121.7,122.19,118.6,120.68,3784906.0
2025-10-30,120.92,121.64,116.92,119.34,4085709.0
2025-10-31,119.69,120.35,116.55,117.89,3537193.0
2025-11-03,118.55,119.92,116.87,117.87,1981308.0
2025-11-04,115.06,116.86,112.94,112.94,2984722.0
2025-11-05,114.06,117.2,113.0,115.41,8240420.0
2025-11-06,114.99,116.55,110.96,112.65,4174887.0
2025-11-07,112.34,112.95,107.13,112.88,7777537.0
2025-11-10,114.9,117.6,113.99,117.32,4203059.0
2025-11-11,116.47,118.3,115.79,118.15,8444457.0
2025-11-12,119.0,119.35,116.87,117.45,2870336.0
2025-11-13,118.56,118.96,111.48,112.53,4957977.0
2025-11-14,111.5,113.94,107.74,112.69,5571994.0
2025-11-17,114.0,114.23,107.17,108.91,5781868.0
2025-11-18,107.98,108.6,104.05,106.11,8396550.0
2025-11-19,106.3,111.2,105.1,110.94,4007324.0
2025-11-20,111.4,113.59,101.5,103.3,9294952.0
2025-11-21,103.0,107.96,100.83,105.9,6279338.0
2025-11-24,107.34,110.62,105.58,110.18,3515751.0
2025-11-25,109.67,113.64,107.85,113.5,4536235.0
2025-11-26,114.0,116.35,113.41,115.63,3722825.0
2025-11-28,116.43,117.33,115.68,117.19,1473735.0
2025-12-01,115.25,116.88,114.2,115.4,2918625.0
2025-12-02,115.56,117.26,114.78,116.51,2291179.0
2025-12-03,116.87,117.79,115.0,117.05,4460564.0
2025-12-04,117.12,118.12,115.91,117.66,7923008.0
2025-12-05,118.15,119.46,117.02,118.17,3269103.0
2025-12-08,118.42,118.85,115.91,117.5,2566103.0
2025-12-09,117.29,117.82,116.36,116.36,2212490.0
2025-12-10,116.95,119.63,115.7,117.93,3681721.0
2025-12-11,116.23,120.71,115.62,119.34,7695974.0
2025-12-12,119.76,119.94,114.4,115.8,6026544.0
2025-12-15,116.94,117.79,114.45,114.54,2977778.0
2025-12-16,114.03,115.85,112.22,113.6,3722937.0
2025-12-17,114.62,115.48,110.29,111.09,5053495.0
2025-12-18,111.4,114.95,110.6,112.85,2963784.0
2025-12-19,113.89,116.17,112.55,116.17,2122578.0
2025-12-22,116.72,118.22,116.5,118.05,1890595.0
2025-12-23,117.94,119.65,117.17,119.39,2119925.0
2025-12-24,118.9,120.61,118.82,120.03,1392240.0
2025-12-26,120.14,120.96,119.71,120.09,1345790.0
2025-12-29,119.2,119.95,118.0,118.67,1596184.0
2025-12-30,118.79,119.26,117.8,117.86,2034627.0
2025-12-31,117.44,118.78,115.68,116.08,3075573.0
2026-01-02,117.79,118.2,114.63,116.26,4088108.0
2026-01-05,117.11,119.48,116.65,118.39,3473690.0
2026-01-06,118.16,120.93,117.94,120.84,2784088.0
2026-01-07,120.35,121.78,119.29,119.77,2838008.0
2026-01-08,118.96,120.21,118.15,119.4,2540623.0
2026-01-09,119.3,122.32,119.15,121.85,3380526.0
2026-01-12,120.37,122.71,118.85,121.57,2153288.0
2026-01-13,121.92,123.3,120.2,121.38,2425545.0
2026-01-14,120.89,121.1,117.42,119.1,3696896.0
2026-01-15,120.26,122.24,119.36,120.94,2666960.0
2026-01-16,121.4,121.67,119.36,120.0,1974952.0
2026-01-20,114.4,116.75,112.27,113.34,4906654.0
2026-01-21,113.73,118.3,111.92,117.39,6728291.0
2026-01-22,118.35,119.52,116.7,118.58,2932314.0
2026-01-23,118.08,119.36,117.41,117.92,2551341.0
2026-01-26,118.41,120.96,117.29,120.39,2408107.0
2026-01-27,121.04,122.56,120.65,122.48,1852887.0
2026-01-28,122.72,123.41,120.12,121.13,2669172.0
2026-01-29,122.54,122.74,115.97,120.16,4524638.0
2026-01-30,118.5,120.8,117.08,119.01,3940809.0
2026-02-02,117.07,122.4,114.41,122.21,3094944.0
2026-02-03,122.12,122.66,115.39,117.88,4991906.0
2026-02-04,118.38,119.43,114.24,117.38,6397030.0
2026-02-05,116.23,117.3,108.76,110.26,5616151.0
2026-02-06,111.93,119.31,110.45,118.32,4787170.0
2026-02-09,118.93,121.13,117.09,120.03,2275339.0
2026-02-10,120.54,121.47,118.91,119.95,2697049.0
2026-02-11,119.73,121.72,117.63,119.28,2459138.0
2026-02-12,120.2,120.77,113.0,113.25,6159200.0
2026-02-13,113.29,115.88,111.48,113.16,4139087.0
2026-02-17,112.61,115.17,110.6,113.55,3425827.0
2026-02-18,115.68,117.25,114.09,115.58,3367908.0
2026-02-19,115.64,116.56,113.38,115.33,2904335.0
2026-02-20,115.8,117.54,113.41,117.25,4827229.0
2026-02-23,115.65,117.52,112.64,113.98,3450480.0
2026-02-24,113.7,116.57,112.44,116.35,2352860.0
2026-02-25,116.5,120.01,116.11,118.48,2162378.0
2026-02-26,118.61,119.51,114.43,115.43,2693775.0
2026-02-27,116.34,116.7,112.99,114.3,3736887.0
2026-03-02,110.96,116.46,109.47,114.36,2928165.0
2026-03-03,109.9,113.42,106.89,112.05,5322994.0
2026-03-04,111.18,115.92,109.71,115.54,3717161.0
2026-03-05,114.29,115.57,109.8,113.01,5352492.0
2026-03-06,112.89,113.46,106.82,107.75,4498299.0
2026-03-09,103.38,111.74,101.88,109.5,7533880.0
2026-03-10,111.79,113.42,109.21,110.83,5275989.0
2026-03-11,110.6,111.9,106.61,107.45,3537939.0
2026-03-12,108.5,108.95,104.69,105.07,5182072.0
2026-03-13,103.96,107.76,102.5,103.25,5681517.0
2026-03-16,104.37,107.54,103.75,106.02,3917880.0
2026-03-17,104.85,108.67,104.35,106.75,2511842.0
2026-03-18,102.4,102.4,102.4,102.27,0
2026-03-19,102.02,102.02,102.02,102.27,0
2026-03-20,102.14,102.14,102.14,99.39,0
2026-03-23,94.63,94.63,94.63,100.82,0
2026-03-24,100.94,100.94,100.94,101.22,0
2026-03-25,101.15,101.15,101.15,100.03,0
2026-03-26,99.43,99.43,99.43,96.41,0
2026-03-27,96.26,96.26,96.26,89.9,0
2026-03-30,91.25,91.25,91.25,88.64,0
2026-03-31,91.94,91.94,91.94,97.86,0
2026-04-01,98.35,98.35,98.35,99.0,0
2026-04-02,96.06,96.06,96.06,99.42,0
2026-04-03,-1.0,-1.0,-1.0,-1.0,0
